% TEGDMA,v (mm/s),type,edge length (mm),sides,corner angle (°),phi (°),Prism,Edge ,vx nozzle (mm/s),ster nozzle (mm/s),vx ahead (mm/s),ster ahead (mm/s),vx just behind (mm/s),ster just behind (mm/s),vx behind left (mm/s),ster behind left (mm/s),vx behind 0 (mm/s),ster behind 0 (mm/s),vx behind 1 (mm/s),ster behind 1 (mm/s),vx behind 2 (mm/s),ster behind 2 (mm/s),vx left (mm/s),ster left (mm/s),vx right 1 (mm/s),ster right 1 (mm/s),vx right 2 (mm/s),ster right 2 (mm/s),pos (mm) init,ster pos (mm) init,width (mm) init,ster width (mm) init,width (normalized) init,ster width (normalized) init,pos (mm) Δrelax NN,ster pos (mm) Δrelax NN,width (mm) Δrelax NN,ster width (mm) Δrelax NN,width (normalized) Δrelax NN,ster width (normalized) Δrelax NN,pos (mm) Δrelax 2nd NN,ster pos (mm) Δrelax 2nd NN,width (mm) Δrelax 2nd NN,ster width (mm) Δrelax 2nd NN,width (normalized) Δrelax 2nd NN,ster width (normalized) Δrelax 2nd NN,pos (mm) Δshear,ster pos (mm) Δshear,width (mm) Δshear,ster width (mm) Δshear,width (normalized) Δshear,ster width (normalized) Δshear
20,9,2,6,8,135,90,5,4,0.01790000000000001,0.3538224895588733,-0.034021,0.29103074729225686,-0.05669966666666667,0.2720389077188291,-0.01053466666666667,0.17752481583002777,-0.10323833333333333,0.2868057950023636,-0.25265333333333334,0.33752965552850456,0.04648623333333334,0.3017820992482398,0.080607,0.1616245619182586,-0.026369666666666666,0.24173543653821397,0.058623,0.2624428454829958,-0.026586666666666665,0.06712567568931802,0.06840533333333333,0.009709548150967046,0.78622,0.11159621080696523,-0.02424155,0.07086097336822307,0.0002004999999999993,0.006167935313016883,0.002295000000000047,0.070894888704643,-0.17269,0.06343955180327175,-0.00021500000000000685,0.0020649218338716843,-0.0024599999999999067,0.023733713257726864,0.001754366666666669,0.05697103823161099,0.012019333333333335,0.01200013240866715,0.13814666666666664,0.13792265942452392
20,9,2,6,8,135,45,5,5,-0.18788223333333334,0.36107795911600726,-0.26165166666666667,0.5229165480730629,0.081847,0.26408295072418764,0.12124200000000002,0.26530942469190466,0.013604333333333335,0.2325156827394575,-0.006806666666666665,0.32593854596688826,-0.1394486666666667,0.27303658965017885,-0.02066533333333333,0.7345698425179957,0.023181000000000004,0.3941112247621361,-0.0708355,0.5840180299891369,-0.0073693333333333345,0.06686302952086395,0.08038600000000001,0.0020335138830155815,0.9239133333333333,0.023373311031524013,0.06983249999999999,0.114810295629089,-0.002460000000000004,0.004785772336285491,-0.01815,0.06219441860110736,0.0640114,0.035066512073486863,-0.00899599999999999,0.002205275279868706,-0.10343000000000013,0.025347184971905655,0.0255992,0.05751611265232292,0.007044666666666662,0.004392572262083354,0.07916333333333336,0.04741004429383158
20,9,2,6,8,135,0,5,6,0.03638933333333333,0.24017218556440068,0.008044333333333332,0.14851923262218844,0.065969,0.16332415605538134,0.017208666666666667,0.06615290912202604,-0.05030934666666667,0.19482346524821598,0.12361466666666666,0.23063906128957135,0.077903,0.1516899337419694,-0.029873666666666663,0.28477090042130637,0.117176,0.3346161274349474,0.01552296666666667,0.1182229021732898,-0.05021433333333333,0.029785164424737567,0.075297,0.0029148406436486068,0.8654233333333332,0.03350554262405689,0.1171325,0.029247741812727993,0.005726500000000002,0.0018720993765002753,0.06582500000000002,0.021510687504419458,0.0259045,0.03187741401054985,-0.0024300000000000016,0.0015712530187401393,-0.027940000000000076,0.01805799763788887,-0.08335816666666668,0.043614784418250736,0.004750333333333333,0.0025818514358778937,0.0545966666666667,0.029675647972362967
20,9,2,6,8,135,315,5,7,-0.17005799999999996,0.49941010724256646,0.12694133333333332,0.41347220287689634,0.20271333333333333,0.2547345513674689,0.26765333333333335,0.3161631129658323,-0.050977666666666664,0.22872800572194804,0.13457533333333335,0.21303798738731577,0.20106662666666666,0.6565638105178876,-0.018031000000000002,0.34178669286310526,0.05463000000000001,0.4588415026516667,-0.05880733333333333,0.23491796015369026,-0.03371733333333333,0.016343603177616958,0.07396599999999999,0.0026993345850962296,0.85012,0.031024623673597117,0.024265000000000002,0.05331735250525342,0.006446500000000001,0.001263419316944552,0.07409500000000002,0.01451749341923586,-0.06615299999999999,0.03550165158129971,-0.008765999999999996,0.0019350186614087213,-0.10075,0.022239266377288618,-0.022341000000000003,0.0734992235292206,0.003737999999999996,0.0030828959001664774,0.04296333333333332,0.03543105898405781
20,9,2,6,8,135,270,5,8,0.1194,0.44153747346080263,0.07917646666666667,0.2887736333477389,0.13586633333333334,0.19399869059722236,-0.06659633333333333,0.19477820222693865,0.06549533333333334,0.27268332712100507,0.006287666666666668,0.2188195305873884,-0.016341666666666668,0.20851064350323403,-0.06278,0.14150194505973313,-0.025647999999999994,0.31322218136682645,-0.16352433333333335,0.23150628747243818,0.324,0.2768664710471421,0.06730066666666668,0.010031710944683036,0.7772966666666666,0.1138413925232764,-0.454835,0.2435857418738293,0.0189465,0.00397369316810785,0.24507,0.06489985738740814,-0.51131,0.05052302112393914,0.009166999999999995,0.0028726508754981003,0.07111,0.023756266032564966,0.117614,0.11063279256500783,-0.001554666666666667,0.004633982000273665,-0.028436666666666704,0.053389618758778935
20,12,2,12,8,135,225,1,1,0.12241133333333333,0.41987162879484,0.009874000000000003,0.3025585866568662,0.046441666666666666,0.25498370742355214,-0.146149,0.3786003018326084,0.07428143333333333,0.280796812917582,0.028343333333333335,0.24826199273488195,-0.0492075,0.29434319831703715,0.09011533333333333,0.30572663275984135,-0.12020999999999998,0.3321799273953987,0.09717266666666667,0.29270675889884923,0.05208136666666666,0.04474685124162477,0.07905133333333332,0.004900519877813227,0.9085733333333333,0.056319863796835436,-0.027509899999999997,0.08229902323319947,-0.0018199999999999952,0.005353605950209793,-0.020919999999999994,0.061526460840863564,-0.16753,0.046614877153114964,0.001797999999999994,0.002399176035642237,0.02066000000000001,0.027574886273564213,0.14322223333333334,0.0558150628368685,-0.00008266666666666607,0.003346524552361938,-0.0009466666666666882,0.03845763919610384
20,12,2,12,8,135,180,1,2,-0.095748,0.10842,0.007990000000000002,0.16244208107492722,-0.021442000000000003,0.10659884345179327,0.009955666666666677,0.41874439809905245,0.02681633333333333,0.17937191625009521,0.031233999999999998,0.35570349132611623,0.204575,0.3604080431714256,0.024714666666666666,0.08302091193564592,0.03549533333333333,0.17810771457982066,0.035733999999999995,0.2023867943097398,0.046108333333333335,0.06437416574424887,0.07933633333333333,0.001416679123865945,0.9118499999999999,0.016282428632678363,-0.0700815,0.08328151261138672,0.0029880000000000045,0.004411976750599286,0.034345000000000014,0.050710717298823045,-0.083253,0.035434400813333926,0.001690999999999998,0.0017517470051351593,0.019419999999999993,0.02013273267591859,0.12726033333333334,0.0997229575816022,-0.004499000000000003,0.003260875366249214,-0.05170333333333332,0.037472641282661895
20,12,2,12,8,135,135,1,3,-0.10268350000000001,0.4114744229532561,0.195937,0.348989732498583,-0.06432533333333333,0.3389158079846981,-0.05323596666666667,0.3278818044634356,0.2199593333333333,0.2292709910809878,-0.114197,0.23431621650402806,-0.056983,0.3767354605673943,0.07816066666666666,0.2702508619764501,0.104091,0.3282034184663606,-0.31347033333333335,0.4540110333704914,-0.12283100000000001,0.14352018107997452,0.069723,0.007411821430388059,0.8903466666666667,0.03703543683453209,0.147928,0.29413491752558535,0.0069205000000000065,0.01716655974517452,-0.013805000000000012,0.02772781302411815,-0.22984900000000003,0.0765286377051101,0.013814999999999994,0.004191222844230547,0.15879,0.048174814301665966,0.02718,0.056120440411460734,-0.004243333333333335,0.007900682902620818,-0.07553000000000003,0.06483537931546304
20,12,2,12,8,135,90,1,4,0.12022400000000001,0.44461225469546334,0.075916,0.4305197350881742,-0.09010000000000001,0.4361090546475059,0.09035533333333333,0.14832934352559282,-0.14502600000000002,0.35898168547508835,-0.481885,0.5380887995350111,-0.31117999999999996,0.8674999999999999,-0.11093566666666667,0.14524562881245975,-0.1749666666666667,0.3230141538880266,-0.0732535,0.39460686624693464,0.007827000000000002,0.08594212332058163,0.08439166666666668,0.0032305493417745983,0.9807366666666667,0.02275614141708357,0.07493999999999999,0.19034350453456353,-0.007103000000000005,0.0023666247392514646,-0.09782500000000005,0.03120353351074489,-0.07710278000000001,0.08266295267530673,-0.004225999999999994,0.001788803424079907,-0.04856000000000005,0.020558452355418196,-0.02007764,0.040919548650735736,0.0030186666666666647,0.0029305913414968054,0.03469333333333339,0.03368147968225243
20,12,2,12,8,135,45,1,5,-0.38367,0.52259,-0.113364,0.47559599613605574,-0.25409333333333334,0.5439964270645034,-0.11910133333333332,0.3452131879882274,0.004845333333333336,0.2937718536360531,0.100549,0.20513391144712273,0.107372,0.27919781264156057,-0.026393333333333324,0.6354061295477426,-0.15838766666666665,0.520414374476809,-0.18692499999999998,0.6637393951365642,-0.11389833333333334,0.11791795099309924,0.07740633333333334,0.010433171391150367,0.9732633333333333,0.02753789862274606,0.221858,0.17708986014165085,0.003373500000000005,0.020754188202847954,-0.07884499999999994,0.08728039301934201,-0.005441999999999999,0.06681875679777348,-0.009375000000000008,0.003875743980192706,-0.10775000000000001,0.04454440175824567,-0.021526800000000002,0.06693109273196135,0.006175333333333338,0.00368968494899136,0.06579666666666668,0.035957272214483825
