split var,plot mode,support mode,y,ster
1,3,2,835,-0.057635290709500464,0.014984807716159135
1,3,3,820,0.015468205456656281,0.008803155508240925
1,3,3,825,-0.01698947659102773,0.010085205588989832
1,3,3,830,0.02589751293185416,0.007712111976229736
1,3,3,835,0.0038568879517731913,0.011315161970761073
2,3,2,3,-0.033945555745327705,0.014151904391241399
2,3,2,6,-0.03947355178468104,0.014857455235975946
2,3,2,9,-0.041395614394818536,0.015139246669992473
2,3,2,12,-0.03562348935678622,0.014748961359802356
2,3,3,3,0.0133700793439962,0.009365505072684036
2,3,3,6,-0.009022757866129383,0.009237026435258044
2,3,3,9,0.008127451296173371,0.009497390312505
2,3,3,12,0.015767863627251022,0.010313474450695165
6,3,2,60,-0.058209795904134776,0.02101516671683653
6,3,2,90,-0.05933116491543089,0.01826009898424134
6,3,2,108,-0.03631544067330211,0.016352010211823014
6,3,2,120,-0.01877434415221596,0.015303087644672489
6,3,2,135,-0.03437635451113902,0.013667711329135336
6,3,3,60,0.006551759579029537,0.013396871515453556
6,3,3,90,0.036443565724320615,0.012697789935607568
6,3,3,108,-0.007071563338014897,0.0102841166666713
6,3,3,120,0.010572484532348048,0.010203500361345062
6,3,3,135,-0.0024314482851298114,0.00876379372655229
1,4,2,820,0.004168906944216413,0.0009506156611560689
1,4,2,825,0.00384956278772379,0.001030053401947679
1,4,2,830,0.004296593766461812,0.0010269345387088828
1,4,2,835,0.0033746424070523473,0.0009272260771986927
1,4,3,820,0.0018590130125375887,0.0005230715836416404
1,4,3,825,0.0014581473533392397,0.0005823841969123918
1,4,3,830,0.003243492892442787,0.0005965543444411842
1,4,3,835,0.002024575577132301,0.0006278222463912481
2,4,2,3,0.0021804954296259227,0.0008943048124163206
2,4,2,6,0.0036515041524030623,0.0009648990336937086
2,4,2,9,0.00539824935690017,0.0010531734936254122
2,4,2,12,0.00444350023664461,0.0010572769311048239
2,4,3,3,0.0024575597089262213,0.0006086533677160521
2,4,3,6,0.0027653569773634368,0.0006556105286849653
2,4,3,9,0.0016624650788054363,0.0006787049421676683
2,4,3,12,0.0016584841935695926,0.0006388214443378553
6,4,2,60,0.00568620567936573,0.0013724444965511132
6,4,2,90,0.0054931727474901645,0.001273919025167504
6,4,2,108,0.0031439031600656864,0.0011987016865914863
6,4,2,120,0.004260502216569775,0.0009827880308316682
6,4,2,135,0.0024293973996536294,0.0008767273287232787
6,4,3,60,0.0032482587524690076,0.000843198235552172
6,4,3,90,0.0024506362538940646,0.0007225161461950263
6,4,3,108,0.0021407449340405255,0.0007886196886664988
6,4,3,120,0.002142738779761913,0.0006553506938833109
6,4,3,135,0.0014705811656165746,0.0006229326835182805
1,5,2,820,0.008496823640504358,0.0010132104362221347
1,5,2,825,0.004896676596431393,0.0006962766192587185
1,5,2,830,0.004478538154991593,0.000878172920934313
1,5,2,835,0.007876386473285507,0.000898236683601706
1,5,3,820,0.002015886131501804,0.0005444413940144336
1,5,3,825,0.0039614097516875585,0.0006442395748138408
1,5,3,830,0.0037768197752507116,0.0005944446921443988
1,5,3,835,0.0010244497360482607,0.0006086117239456411
2,5,2,3,0.005499959069459062,0.0008431488386759368
2,5,2,6,0.0058036812598594445,0.0008480468227903768
2,5,2,9,0.0069795716886377895,0.000968670781357531
2,5,2,12,0.0074178506903159885,0.0009269238830528089
2,5,3,3,0.00243943685658074,0.000608038453778303
2,5,3,6,0.0026874352380952538,0.000606679087783218
2,5,3,9,0.0038581838422391684,0.0006247960795886961
2,5,3,12,0.001895113085708694,0.0006393295300210846
6,5,2,60,0.004163460129136404,0.0013517974949035293
6,5,2,90,0.011499843140477778,0.001317846340902332
6,5,2,108,0.006503626333333332,0.0009518636712434094
6,5,2,120,0.006370868659568665,0.0009051225635221777
6,5,2,135,0.004409806463212068,0.0007353991052253838
6,5,3,60,0.0025682668660684804,0.0010502307305824067
6,5,3,90,0.0016221772486772479,0.0008367876370047128
6,5,3,108,0.0017409444071835173,0.0007370507642761748
6,5,3,120,0.003841383439659743,0.0005744305814090751
