xvar,mode,subvar,subset,x0,y0,motor c,disturbed zone amp,disturbed zone effect,disturbed zone error,disturbed zone vi,solid rotation amp,solid rotation effect,solid rotation error,solid rotation vi,fluid reshaping amp,fluid reshaping effect,fluid reshaping error,fluid reshaping vi,best fit,rot amp,best effect,best error,best vi,best effect-vi
27,3,0,0,-0.08226454337506661,0.008912312973211682,-0.02315765356382979,0.04461596559001642,0.06541464051990614,0.005184306368456225,-0.004530751305666167,0.016537096322223936,0.0691957949778123,0.0038816603305838098,0.002129233836967943,-0.07195217707762612,0.07023511538475906,0.0029801246249837824,0.052633017532283506,3,-0.07195217707762612,0.07023511538475906,0.0029801246249837824,0.052633017532283506,0.017602097852475553
29,3,0,0,-0.003116736165476313,0.06214852828520293,-0.036607193279255316,-0.00665476464811475,0.062100722709671735,0.005607240408561016,0.0006757913500160528,0.001775569031638175,0.061818736152277745,0.005641023324358254,0.00022861339066857324,-0.044986009443866076,0.06303781405185375,0.005114274444911773,0.03290726590818804,3,-0.044986009443866076,0.06303781405185375,0.005114274444911773,0.03290726590818804,0.030130548143665718
31,3,0,0,0.010417663998240078,-0.02426051588099097,0.0025704566666666685,-0.01508489406642537,0.05403930325300873,0.0032149423472759525,0.002351885833896379,-0.026890663332167532,0.052336867526758736,0.003228426693831325,-0.0034623073573332307,-0.01528339694519866,0.053399025869055296,0.0032606768043801243,0.0024761395560763608,1,-0.01508489406642537,0.05403930325300873,0.0032149423472759525,0.002351885833896379,0.05168741741911235
37,3,0,0,0.009034824046572543,-0.01702038265158938,0.006012597916666671,-0.014125072999156418,0.06806042353984254,0.003419065597093159,0.002202240131298477,-0.02461549111714076,0.06650381356387104,0.00351065910722916,-0.0031693675587874588,-0.014336796254077681,0.06745965876358777,0.0034856365710196407,0.0023227760451043954,1,-0.014125072999156418,0.06806042353984254,0.003419065597093159,0.002202240131298477,0.06585818340854406
43,3,0,0,0.009797138718929448,-0.01578380249023454,0.00161520125,-0.009576776330946647,0.06193711103649806,0.003096511624656871,0.0014931151977578916,-0.016436797256669522,0.06089851455274445,0.003123538641413153,-0.0021163198307824842,-0.00973189242602747,0.06152924445441871,0.0031364367374492465,0.0015767125514028403,1,-0.009576776330946647,0.06193711103649806,0.003096511624656871,0.0014931151977578916,0.06044399583874017
11,2,1,20,-0.15223754375466,-0.00705351198837527,-0.03919690854838709,-0.02934331113264282,0.036243099814246206,0.007408864690975587,0.004574915638690342,-0.051451820615600316,0.03298841826429388,0.007376455400852563,-0.006624679163361619,-0.029768673162829804,0.034995762768529365,0.00751377095167447,0.00482297158247587,2,-0.051451820615600316,0.03298841826429388,0.007376455400852563,-0.006624679163361619,0.039613097427655494
13,2,1,20,-0.041433576097243935,-0.08848526104457746,-0.07211224148936171,0.0322258628618897,0.1125829634452538,0.003680529244584453,-0.005024334278797223,0.06019560964077246,0.11640262116288773,0.004794222391201983,0.007750485719297658,0.03252396058060152,0.11394480961788259,0.0037779312209408338,-0.0052693694734661555,1,0.0322258628618897,0.1125829634452538,0.003680529244584453,-0.005024334278797223,0.11760729772405103
15,2,1,20,-0.10725614183101115,-0.017619886861167153,-0.06833233031914893,0.0065188624201168305,0.05773292773832436,0.002843014036904154,-0.001016355839920415,0.01227493535596302,0.05851211911768516,0.0026815172156686765,0.0015804593017570187,0.006574665601778109,0.05800819757625681,0.00283451531882705,-0.0010651944474720802,2,0.01227493535596302,0.05851211911768516,0.0026815172156686765,0.0015804593017570187,0.05693165981592814
17,2,1,20,-0.023055329448978694,-0.12492203171100491,0.010310731861702109,0.2725765758368909,0.09888858411786895,0.012515897325381076,-0.02768015127623627,0.12781546715468647,0.12376959402534315,0.010524543657021868,0.016456880473501658,0.7913709172752272,0.13879483827471045,0.02022156038959338,0.5788878259868288,2,0.12781546715468647,0.12376959402534315,0.010524543657021868,0.016456880473501658,0.1073127135518415
19,2,1,20,-0.12076502166534722,0.0169197830000289,-0.0015408705851063659,0.0030516727451866095,0.10563938832649385,0.004381347784216691,-0.0004757862977020443,0.008829901453149762,0.10620913459226462,0.004119782318864013,0.0011368939616002976,0.0029365020907068757,0.10576154415233585,0.004367219507538166,-0.00047575738622587446,2,0.008829901453149762,0.10620913459226462,0.004119782318864013,0.0011368939616002976,0.10507224063066432
